Ground Truth Height,Predicted Height,Absolute Height Error Percentage
1.68,1.72278975836675,2.54700942659225
1.84,1.71927229908407,6.56128809325705
1.78,1.72596695169833,3.03556451132977
1.73,1.80613760721868,4.4010177583052
1.66,1.80048977252692,8.46323930885059
1.82,1.75671612551157,3.47713596090275
1.79,1.74479385792936,2.52548279724246
1.74,1.8993928634829,9.16050939556897
1.67,1.68687639743676,1.01056272076408
1.84,1.70842829218567,7.15063629425706
1.78,1.73253411785137,2.66662259261966
1.64,1.60844971750171,1.92379771331038
1.62,1.57929817205795,2.51245851494137
1.85,1.77853775721533,3.86282393430649
1.76,1.86035147401608,5.70178829636818
1.7,1.71407715873429,0.828068160840578
1.69,1.65826115221659,1.87803833037929
1.65,1.68626650491087,2.19796999459819
1.56,1.48099741199484,5.06426846186924
1.78,1.75269163648348,1.53417772564718
1.68,1.71711437917047,2.2091892363375
1.86,1.74734522271792,6.0567084560258
1.8,1.74746370847789,2.91868286233945
1.79,1.77156889554214,1.02967064010391
1.77,1.74253166001589,1.55188361492147
1.74,1.64616122724659,5.39303291686264
1.7,1.68883977911249,0.656483581618255
1.74,1.70077795530476,2.25414049972644
1.71,1.709019790616,0.057322186198837
1.74,1.71926509961914,1.19166094142873
1.73,1.70935800253939,1.1931790439659
1.62,1.65904534368573,2.4102064003537
1.61,1.66668298369221,3.52068221690747
1.78,1.76041634128882,1.10020554557191
1.74,1.71424576147119,1.48012865108103
1.7,1.63530599157693,3.80552990723941
1.64,1.25484571382847,23.4850174494835
1.72,1.69701383361548,1.33640502235582
1.66,1.69884901143972,2.34030189395902
1.74,1.76653844611054,1.52519805232989
1.66,1.75562686619069,5.76065458980059
1.76,1.7189377656281,2.33308149840341
1.68,1.70842829218567,1.69216024914701
1.81,1.724115725596,4.7449875361326
1.77,1.71366072163946,3.18301007686666
1.66,1.7031833253585,2.60140514207831
1.63,1.71077794573524,4.95570219234603
1.71,1.70451994303333,0.320471167641519
1.71,1.72096922871663,0.641475363545619
1.74,1.7323626839416,0.438926210252874
1.73,1.71147027588968,1.0710823185156
1.78,1.78700828592106,0.393723928149429
1.71,1.81708153107613,6.26207784070937
1.88,1.72099250490956,8.45784548353404
1.78,1.72889057178128,2.87131619206293
1.66,1.69236806945912,1.94988370235661
1.58,1.70288538883645,7.77755625547151
1.62,1.69771988499248,4.79752376496789
1.58,1.67768872193546,6.18283050224431
1.61,1.72472408241445,7.12571940462424
1.56,1.71212116878053,9.75135697311089
1.75,1.74339944528951,0.377174554885151
1.73,1.73660288174962,0.381669465295953
1.8,1.83229956640028,1.7944203555711
1.79,1.83428564291055,2.47405826315922
1.75,1.78591760000682,2.052434286104
1.66,1.76349476332632,6.23462429676626
1.83,1.72588628311158,5.6892741469082
1.81,1.69572656989396,6.31344917712928
1.86,1.72543979233653,7.23441976685323
1.78,1.72098688984505,3.31534326713202
1.71,1.66989266206558,2.34545835873801
1.64,1.60378987731954,2.20793430978415
1.64,1.70345067251611,3.86894344610426
1.58,1.67250751098157,5.85490575832721
1.72,1.70123032273342,1.09126030619651
1.71,1.69368004265708,0.954383470346187
1.86,1.71858461847477,7.60297750135645
1.82,1.75286880130224,3.68852740097583
1.79,1.7463848820341,2.4365987690447
1.69,1.70981489854493,1.17247920384201
1.77,1.72100858715731,2.7678764317904
1.77,1.74603266658557,1.35408663358362
1.64,1.70009380181377,3.66425620815669
1.59,1.67837718554449,5.55831355625724
1.69,1.69960648075261,0.568430813763902
1.61,1.63337299670139,1.45173892555218
1.62,1.66374500370705,2.70030887080555
1.59,1.68361683647521,5.88785135064215
1.72,1.68007826355918,2.32103118841977
1.67,1.67206282829382,0.123522652324563
1.73,1.74692133010302,0.978111566648555
1.64,1.73469116267809,5.77385138281035
1.8,1.72989176944191,3.89490169767167
1.78,1.71289401740001,3.76999902247135
1.6,1.68697565948584,5.435978717865
1.54,1.67206835568671,8.57586725238376
1.79,1.72133552190254,3.83600436298659
1.73,1.70525061258362,1.43060042869249
1.71,1.64791305392686,3.63081555983274
1.63,1.69243845810537,3.83058025186319
1.61,1.69303289576815,5.15732271851864
1.59,1.65936218154444,4.36240135499625
1.61,1.69032427574215,4.98908544982299
1.54,1.67692947848907,8.89152457721234
1.62,1.65208856650156,1.98077570997283
1.56,1.63647162426766,4.90202719664487
1.71,1.67566134108585,2.00810870842982
1.68,1.68344593580012,0.205115226197605
1.86,1.74821114724613,6.01015337386398
1.86,1.68010418979113,9.67181775316505
1.86,1.73999263059405,6.45200910784678
1.84,1.70842829218567,7.15063629425706
1.61,1.71793615248083,6.70410884974101
1.6,1.64945903250258,3.09118953141124
1.74,1.72058308960186,1.11591439069769
1.66,1.69326936839099,2.00417881873433
1.68,1.70734686044735,1.62778931234226
1.68,1.69850441532476,1.10145329314048
1.86,1.72460728427174,7.2791782649602
1.84,1.73580372200844,5.66284119519348
1.66,1.68195028736789,1.32230646794517
1.6,1.60762735058013,0.476709411258117
1.79,1.73356590258565,3.15274287231006
1.74,1.7463841278966,0.366903902103444
1.69,1.69535728454617,0.31699908557219
1.65,1.69557209737579,2.76194529550243
1.75,1.74165070409563,0.477102623106848
1.66,1.72135519690703,3.69609619921866
1.71,1.69205323701229,1.04951830337485
1.63,1.70033277389506,4.31489410399142
1.66,1.70842829218567,2.91736699913673
1.62,1.60617724126456,0.853256712064199
1.76,1.72204564536799,2.1564974222733
1.7,1.74265370893366,2.50904170197999
1.76,1.71822283095713,2.3737027865267
1.76,1.71227730133638,2.71151696952386
1.84,1.73711644698935,5.59149744623098
1.76,1.71787216795785,2.3936268205767
1.65,1.68562739058469,2.15923579301153
1.63,1.63212178875541,0.130171089288965
1.77,1.7070329008613,3.55746322817514
1.71,1.72027145829251,0.600670075585385
1.74,1.70305652046173,2.12318847921093
1.74,1.69557477570686,2.55317380995057
